Unnamed: 0,Country,YearMonth,Query1,Query2,Query3,Query4,Query5,Query6,Query7,Query8,Query9,Query10,Query11,Query12,Query13,Query14,Query15,Query16,Query17,Query18,Query19,Query20,Query21,Query22,Query23,Query24,Query25,Query26,Query27,Query28,Query29,Query30,Query31,Query32,Query33,Query34,Query35,Query36,Query37,Query38,Query39,Query40
701,NG,2022-06-01,feminism meaning,sex positive feminism,feminism meaning,intersectional feminism,intersectional feminism,intersectional feminism,feminism meaning,emma watson,intersectional feminism,marxist feminism,everyday feminism,intersectional feminism,sex positive feminism,first wave feminism,patriarchy,first wave feminism,third wave feminism,post feminism,first wave feminism,feminism meaning in english,what is a feminist,,,,,,,,,,,,,,,,,,,
702,NG,2022-07-01,feminism meaning,sex positive feminism,feminism meaning,intersectional feminism,intersectional feminism,intersectional feminism,feminist meaning in hindi,emma watson feminism,intersectional feminism,marxist feminism,everyday feminism,beyonce,sex positive feminism,third wave feminism,patriarchy,first wave feminism,misogyny,white feminism,first wave feminism,meaning of feminism in hindi,misogyny,misogyny,,,,,,,,,,,,,,,,,,
703,NG,2022-07-01,feminism meaning,feminism meaning,feminism meaning,intersectional feminism,intersectional feminism,intersectional feminism,feminism in hindi,women against feminism,intersectional feminism,marxist feminism,everyday feminism,time feminism,sex positive feminism,third wave feminism,patriarchy,modern feminism,patriarchy,sexism,intersectional feminism,feminism meaning in english,misogyny,misogyny,,,,,,,,,,,,,,,,,,
704,NG,2022-07-01,feminism meaning,feminism meaning,feminism meaning,intersectional feminism,intersectional feminism,intersectional feminism,feminism in hindi,feminism video,intersectional feminism,marxist feminism,everyday feminism,emma watson,kaley cuoco feminism,third wave feminism,miley cyrus feminism,modern feminism,patriarchy,sexism,intersectional feminism,feminism today,love joy feminism,islamic feminism,,,,,,,,,,,,,,,,,,
705,NG,2022-08-01,feminism meaning,feminism meaning,feminism meaning,intersectional feminism,intersectional feminism,intersectional feminism,feminism meaning in hindi,feminist theory,intersectional feminism,everyday feminism,everyday feminism,emma watson,emma watson,third wave feminism,first wave feminism,modern feminism,patriarchy,sexism,intersectional feminism,feminism today,love joy feminism,betty friedan,,,,,,,,,,,,,,,,,,
706,NG,2022-08-01,feminism meaning,feminism meaning,feminism meaning,intersectional feminism,intersectional feminism,intersectional feminism,feminism in hindi,feminism theory,feminism meaning,everyday feminism,everyday feminism,emma watson feminism,emma watson feminism,third wave feminism,first wave feminism,modern feminism,patriarchy,modern feminism,feminism meaning,patriarchy,i need feminism because,betty friedan,,,,,,,,,,,,,,,,,,
707,NG,2022-08-01,feminism meaning,feminist meaning,lesbian feminism,intersectional feminism,intersectional feminism,intersectional feminism,feminism meaning in hindi,feminism in australia,feminism meaning,everyday feminism,everyday feminism,emma watson,feminist quotes,third wave feminism,first wave feminism,modern feminism,patriarchy,modern feminism,feminism meaning,patriarchy,i dont need feminism,betty friedan,,,,,,,,,,,,,,,,,,
708,NG,2022-08-01,feminism meaning,feminism meaning,lesbian feminism,intersectional feminism,intersectional feminism,intersectional feminism,feminism in hindi,everyday feminism,feminism meaning,everyday feminism,women against feminism,kaley cuoco feminism,feminist quotes,white feminism,first wave feminism,modern feminism,emma watson feminism,modern feminism,feminism meaning,patriarchy,roe v wade,socialist feminism,,,,,,,,,,,,,,,,,,
709,NG,2022-08-01,feminism meaning,feminism meaning,lesbian feminism,intersectional feminism,intersectional feminism,intersectional feminism,feminism meaning in hindi,everyday feminism,feminism meaning,everyday feminism,beyonce,mad max fury road feminism,feminist quotes,white feminism,first wave feminism,modern feminism,emma watson feminism,women against feminism,feminism meaning,patriarchy,roe v wade,socialist feminism,,,,,,,,,,,,,,,,,,
710,NG,2022-09-01,feminism meaning,feminist meaning,lesbian feminism,intersectional feminism,intersectional feminism,intersectional feminism,feminism meaning in hindi,everyday feminism,feminist meaning,misandry,third wave feminism,radical feminism,feminism quotes,white feminism,first wave feminism,modern feminism,ano ang papel ng mga lalaki sa feminism ayon kay emma watson mahalaga ba ang kanilang gampanin bakit,feminism is bullshit,feminist meaning,patriarchy,everyday feminism,socialist feminism,,,,,,,,,,,,,,,,,,
711,NG,2022-09-01,feminism meaning,feminist meaning,love joy feminism,intersectional feminism,intersectional feminism,intersectional feminism,feminism meaning,everyday feminism,feminism meaning,marxism,third wave feminism,radical feminism,feminism quotes,shailene woodley feminism,first wave feminism,women against feminism,feminist quotes,what is a feminist,feminist meaning in tamil,what is a feminist,everyday feminism,socialist feminism,,,,,,,,,,,,,,,,,,
